"accident_id";"city";"state";"latitude";"longitude";"date";"time";"hour";"day_of_week";"is_weekend";"road_type";"lanes";"traffic_signal";"weather";"visibility";"temperature";"traffic_density";"cause";"accident_severity";"vehicles_involved";"casualties";"is_peak_hour";"festival";"risk_score"
11;"Chandigarh";"Punjab";30.651926;76.876892;"2022-03-23";"13:00:00";13;"Wednesday";0;"highway";1;"1";"fog";"low";34.0;"medium";"poor road";"minor";3;3;0;"No Festival";0.45
12;"Bangalore";"Karnataka";12.936802;77.469957;"2022-01-27";"02:00:00";2;"Thursday";0;"urban";5;"1";"rain";"medium";33.0;"low";"drunk driving";"minor";2;0;0;"No Festival";0.25
13;"Mumbai";"Maharashtra";19.132036;72.76057;"2023-11-28";"09:00:00";9;"Tuesday";0;"highway";5;"1";"rain";"low";17.0;"medium";"weather";"major";4;1;1;"No Festival";0.6
14;"Pune";"Maharashtra";18.532452;73.841799;"2024-03-25";"08:00:00";8;"Monday";0;"highway";6;"0";"rain";"low";40.0;"medium";"overspeeding";"major";5;2;1;"Holi";0.7
15;"Chandigarh";"Punjab";30.721892;76.711388;"2025-02-09";"18:00:00";18;"Sunday";1;"urban";5;"1";"rain";"medium";23.0;"high";"overspeeding";"major";4;0;1;"No Festival";0.6
16;"Chandigarh";"Punjab";30.772308;76.768413;"2024-03-18";"08:00:00";8;"Monday";0;"rural";1;"0";"clear";"high";23.0;"high";"drunk driving";"minor";4;4;1;"No Festival";0.45
17;"Hyderabad";"Telangana";17.382285;78.551704;"2023-08-03";"11:00:00";11;"Thursday";0;"urban";6;"0";"rain";"low";20.0;"low";"overspeeding";"major";5;3;0;"No Festival";0.45
18;"Chennai";"Tamil Nadu";13.161404;80.197819;"2023-09-26";"21:00:00";21;"Tuesday";0;"urban";1;"1";"fog";"low";30.0;"medium";"distraction";"fatal";5;5;0;"No Festival";0.65
19;"Hyderabad";"Telangana";17.570411;78.310647;"2024-08-14";"18:00:00";18;"Wednesday";0;"urban";4;"1";"fog";"low";21.0;"high";"distraction";"fatal";1;1;1;"No Festival";1.0
20;"Chandigarh";"Punjab";30.629812;76.765481;"2024-02-04";"02:00:00";2;"Sunday";1;"urban";5;"1";"fog";"low";36.0;"low";"poor road";"minor";2;0;0;"No Festival";0.45
21;"Kolkata";"West Bengal";22.459848;88.361745;"2022-11-04";"01:00:00";1;"Friday";0;"highway";6;"1";"fog";"low";30.0;"low";"drunk driving";"fatal";5;5;0;"No Festival";0.65
22;"Kolkata";"West Bengal";22.692541;88.209956;"2023-12-09";"00:00:00";0;"Saturday";1;"urban";3;"0";"fog";"low";25.0;"medium";"weather";"minor";4;1;0;"No Festival";0.45
23;"Bangalore";"Karnataka";12.911401;77.624696;"2024-08-06";"03:00:00";3;"Tuesday";0;"urban";1;"0";"rain";"low";26.0;"medium";"distraction";"major";3;1;0;"No Festival";0.45
24;"Chennai";"Tamil Nadu";12.98416;80.153974;"2023-07-26";"23:00:00";23;"Wednesday";0;"urban";2;"0";"clear";"high";36.0;"medium";"distraction";"minor";3;2;0;"No Festival";0.1
25;"Delhi";"Delhi";28.528171;77.003017;"2023-03-26";"01:00:00";1;"Sunday";1;"highway";5;"1";"clear";"high";29.0;"high";"drunk driving";"minor";3;2;0;"No Festival";0.3
26;"Delhi";"Delhi";28.631253;77.168852;"2022-11-02";"14:00:00";14;"Wednesday";0;"highway";4;"0";"rain";"low";32.0;"high";"overspeeding";"major";1;0;0;"No Festival";0.65
27;"Chennai";"Tamil Nadu";12.964354;80.262971;"2024-10-11";"13:00:00";13;"Friday";0;"urban";6;"0";"clear";"high";39.0;"high";"weather";"major";1;1;0;"No Festival";0.3
28;"Chennai";"Tamil Nadu";13.171632;80.200311;"2023-09-05";"05:00:00";5;"Tuesday";0;"highway";4;"1";"rain";"medium";29.0;"high";"weather";"minor";1;1;0;"No Festival";0.45
29;"Mumbai";"Maharashtra";18.876038;72.816062;"2024-01-09";"08:00:00";8;"Tuesday";0;"rural";3;"1";"rain";"medium";28.0;"high";"overspeeding";"minor";1;1;1;"No Festival";0.6
30;"Delhi";"Delhi";28.494878;77.089734;"2025-04-08";"17:00:00";17;"Tuesday";0;"urban";6;"0";"fog";"low";17.0;"high";"drunk driving";"minor";4;0;1;"No Festival";0.8
31;"Bangalore";"Karnataka";13.181455;77.704682;"2023-05-21";"17:00:00";17;"Sunday";1;"rural";3;"1";"clear";"high";36.0;"high";"distraction";"minor";1;1;1;"No Festival";0.45
32;"Mumbai";"Maharashtra";19.277812;72.889938;"2024-12-31";"07:00:00";7;"Tuesday";0;"rural";6;"0";"clear";"high";24.0;"low";"poor road";"minor";3;1;0;"No Festival";0.1
33;"Kolkata";"West Bengal";22.644485;88.376914;"2024-10-11";"07:00:00";7;"Friday";0;"urban";6;"1";"fog";"low";18.0;"low";"overspeeding";"minor";5;4;0;"No Festival";0.45
34;"Bangalore";"Karnataka";13.007483;77.745779;"2023-10-09";"03:00:00";3;"Monday";0;"highway";1;"0";"rain";"medium";23.0;"medium";"drunk driving";"minor";4;4;0;"No Festival";0.25
35;"Delhi";"Delhi";28.767686;77.102505;"2022-06-02";"17:00:00";17;"Thursday";0;"rural";1;"1";"fog";"low";27.0;"medium";"poor road";"minor";5;2;1;"No Festival";0.6
36;"Chandigarh";"Punjab";30.79305;76.864728;"2023-12-21";"04:00:00";4;"Thursday";0;"highway";6;"0";"clear";"high";35.0;"low";"overspeeding";"minor";5;1;0;"No Festival";0.1
37;"Delhi";"Delhi";28.513789;77.26605;"2024-01-02";"14:00:00";14;"Tuesday";0;"rural";6;"1";"fog";"low";24.0;"high";"drunk driving";"minor";1;0;0;"No Festival";0.65
38;"Chennai";"Tamil Nadu";12.941766;80.271836;"2023-02-19";"18:00:00";18;"Sunday";1;"highway";5;"1";"clear";"high";32.0;"low";"weather";"fatal";4;4;1;"No Festival";0.45
39;"Pune";"Maharashtra";18.497326;73.919761;"2023-12-04";"06:00:00";6;"Monday";0;"rural";5;"0";"rain";"medium";20.0;"low";"drunk driving";"minor";2;1;0;"No Festival";0.25
40;"Kolkata";"West Bengal";22.568337;88.326718;"2023-09-02";"01:00:00";1;"Saturday";1;"rural";4;"1";"rain";"medium";30.0;"high";"weather";"minor";4;3;0;"No Festival";0.45
41;"Mumbai";"Maharashtra";18.945509;72.865677;"2024-11-19";"22:00:00";22;"Tuesday";0;"highway";5;"1";"rain";"medium";40.0;"high";"distraction";"minor";2;2;0;"No Festival";0.45
42;"Chandigarh";"Punjab";30.739178;76.722246;"2023-07-21";"09:00:00";9;"Friday";0;"urban";4;"0";"rain";"medium";29.0;"high";"drunk driving";"fatal";3;3;1;"No Festival";0.8
43;"Hyderabad";"Telangana";17.36441;78.442288;"2022-03-01";"22:00:00";22;"Tuesday";0;"urban";4;"1";"rain";"medium";20.0;"medium";"overspeeding";"major";1;0;0;"No Festival";0.25
44;"Chennai";"Tamil Nadu";13.174093;80.150346;"2025-01-13";"13:00:00";13;"Monday";0;"highway";2;"1";"clear";"high";20.0;"low";"weather";"minor";1;1;0;"No Festival";0.1
45;"Chandigarh";"Punjab";30.75772;76.718682;"2022-11-01";"00:00:00";0;"Tuesday";0;"rural";3;"1";"rain";"medium";26.0;"low";"drunk driving";"major";2;2;0;"No Festival";0.25
46;"Bangalore";"Karnataka";13.032625;77.614829;"2024-06-21";"09:00:00";9;"Friday";0;"urban";2;"1";"rain";"medium";21.0;"high";"distraction";"minor";1;1;1;"No Festival";0.6
47;"Chandigarh";"Punjab";30.774779;76.862232;"2025-04-11";"11:00:00";11;"Friday";0;"urban";6;"1";"rain";"low";31.0;"low";"poor road";"major";4;4;0;"No Festival";0.45
48;"Delhi";"Delhi";28.683622;77.273941;"2023-02-06";"15:00:00";15;"Monday";0;"rural";2;"1";"rain";"medium";16.0;"medium";"poor road";"major";3;3;0;"No Festival";0.25
49;"Hyderabad";"Telangana";17.384544;78.420669;"2022-05-23";"14:00:00";14;"Monday";0;"highway";4;"0";"rain";"low";22.0;"high";"weather";"major";2;0;0;"No Festival";0.65
50;"Hyderabad";"Telangana";17.217784;78.280672;"2024-12-23";"13:00:00";13;"Monday";0;"rural";3;"1";"fog";"low";31.0;"medium";"distraction";"major";2;2;0;"No Festival";0.45
51;"Pune";"Maharashtra";18.482992;73.944129;"2024-02-29";"09:00:00";9;"Thursday";0;"highway";2;"1";"clear";"high";32.0;"high";"overspeeding";"major";3;1;1;"No Festival";0.45
52;"Hyderabad";"Telangana";17.224481;78.470636;"2023-02-23";"07:00:00";7;"Thursday";0;"rural";3;"1";"fog";"low";17.0;"medium";"drunk driving";"major";2;2;0;"No Festival";0.45
53;"Bangalore";"Karnataka";12.863932;77.797043;"2024-07-21";"02:00:00";2;"Sunday";1;"urban";4;"0";"fog";"low";15.0;"low";"drunk driving";"major";1;0;0;"No Festival";0.45
54;"Mumbai";"Maharashtra";19.090552;72.9844;"2023-03-14";"21:00:00";21;"Tuesday";0;"rural";1;"1";"rain";"low";29.0;"medium";"poor road";"minor";3;0;0;"No Festival";0.45
55;"Chandigarh";"Punjab";30.790067;76.805399;"2024-09-30";"03:00:00";3;"Monday";0;"highway";5;"1";"rain";"low";25.0;"low";"weather";"major";3;1;0;"No Festival";0.45
56;"Delhi";"Delhi";28.502883;77.165457;"2022-11-17";"06:00:00";6;"Thursday";0;"urban";5;"1";"fog";"low";32.0;"medium";"drunk driving";"minor";3;3;0;"No Festival";0.45
57;"Chandigarh";"Punjab";30.774233;76.72531;"2023-09-07";"00:00:00";0;"Thursday";0;"urban";3;"0";"clear";"high";40.0;"low";"distraction";"major";2;1;0;"No Festival";0.1
58;"Mumbai";"Maharashtra";19.232608;72.869852;"2023-06-04";"06:00:00";6;"Sunday";1;"urban";6;"0";"fog";"low";21.0;"medium";"weather";"major";2;1;0;"No Festival";0.45
59;"Chennai";"Tamil Nadu";12.959773;80.153419;"2022-06-28";"02:00:00";2;"Tuesday";0;"urban";1;"0";"clear";"high";31.0;"low";"overspeeding";"minor";1;0;0;"No Festival";0.1
60;"Chennai";"Tamil Nadu";12.985135;80.226248;"2025-03-28";"23:00:00";23;"Friday";0;"rural";2;"0";"rain";"low";25.0;"high";"overspeeding";"fatal";4;4;0;"No Festival";0.85
61;"Mumbai";"Maharashtra";19.061169;72.872827;"2024-04-17";"14:00:00";14;"Wednesday";0;"urban";5;"1";"clear";"high";19.0;"low";"poor road";"minor";2;0;0;"No Festival";0.1
62;"Delhi";"Delhi";28.463133;76.976698;"2024-12-31";"09:00:00";9;"Tuesday";0;"rural";1;"1";"rain";"medium";39.0;"medium";"distraction";"major";1;0;1;"No Festival";0.4
63;"Chennai";"Tamil Nadu";12.852053;80.121615;"2023-05-13";"14:00:00";14;"Saturday";1;"urban";6;"1";"rain";"medium";27.0;"high";"distraction";"major";3;1;0;"No Festival";0.45
64;"Chennai";"Tamil Nadu";13.017299;80.224813;"2024-04-02";"00:00:00";0;"Tuesday";0;"rural";3;"0";"fog";"low";26.0;"low";"overspeeding";"major";4;1;0;"No Festival";0.45
65;"Pune";"Maharashtra";18.560997;73.811173;"2024-08-17";"23:00:00";23;"Saturday";1;"rural";2;"1";"fog";"low";24.0;"medium";"drunk driving";"major";2;2;0;"No Festival";0.45
66;"Chennai";"Tamil Nadu";12.97141;80.197487;"2023-12-11";"07:00:00";7;"Monday";0;"rural";4;"1";"rain";"medium";18.0;"high";"drunk driving";"major";1;0;0;"No Festival";0.45
67;"Mumbai";"Maharashtra";19.264702;72.886613;"2022-09-22";"10:00:00";10;"Thursday";0;"highway";1;"1";"clear";"high";21.0;"high";"poor road";"major";2;2;1;"No Festival";0.45
68;"Mumbai";"Maharashtra";18.811624;72.877651;"2022-02-27";"05:00:00";5;"Sunday";1;"rural";2;"1";"fog";"low";17.0;"high";"drunk driving";"minor";5;5;0;"No Festival";0.65
69;"Chandigarh";"Punjab";30.674067;76.774623;"2024-04-23";"21:00:00";21;"Tuesday";0;"rural";4;"0";"clear";"high";36.0;"high";"distraction";"major";3;1;0;"No Festival";0.3
70;"Mumbai";"Maharashtra";19.208566;72.896859;"2023-05-26";"06:00:00";6;"Friday";0;"highway";6;"1";"fog";"low";34.0;"low";"poor road";"major";1;1;0;"No Festival";0.45
71;"Hyderabad";"Telangana";17.530898;78.305176;"2024-11-26";"19:00:00";19;"Tuesday";0;"highway";2;"1";"fog";"low";38.0;"low";"poor road";"minor";3;3;1;"No Festival";0.6
72;"Pune";"Maharashtra";18.442448;73.878574;"2024-03-03";"14:00:00";14;"Sunday";1;"urban";4;"0";"fog";"low";19.0;"high";"drunk driving";"major";2;2;0;"No Festival";0.65
73;"Delhi";"Delhi";28.47365;77.060874;"2023-03-24";"11:00:00";11;"Friday";0;"highway";2;"1";"clear";"high";21.0;"high";"weather";"fatal";5;5;0;"No Festival";0.5
74;"Bangalore";"Karnataka";12.984625;77.767823;"2022-09-21";"06:00:00";6;"Wednesday";0;"rural";1;"1";"rain";"low";19.0;"low";"distraction";"fatal";1;1;0;"No Festival";0.65
75;"Bangalore";"Karnataka";12.954595;77.488507;"2024-02-25";"13:00:00";13;"Sunday";1;"highway";1;"1";"fog";"low";29.0;"medium";"overspeeding";"major";2;0;0;"No Festival";0.45
76;"Chandigarh";"Punjab";30.78901;76.887359;"2022-05-02";"19:00:00";19;"Monday";0;"urban";1;"1";"clear";"high";23.0;"high";"weather";"minor";4;0;1;"No Festival";0.45
77;"Pune";"Maharashtra";18.528017;73.850369;"2023-09-05";"06:00:00";6;"Tuesday";0;"urban";4;"1";"rain";"low";39.0;"low";"poor road";"minor";2;1;0;"No Festival";0.45
78;"Pune";"Maharashtra";18.549441;73.804096;"2025-04-14";"05:00:00";5;"Monday";0;"urban";4;"1";"fog";"low";39.0;"high";"drunk driving";"minor";2;0;0;"No Festival";0.65
79;"Chennai";"Tamil Nadu";12.919435;80.207627;"2023-03-28";"15:00:00";15;"Tuesday";0;"urban";2;"1";"fog";"low";27.0;"high";"poor road";"fatal";5;5;0;"No Festival";0.85
80;"Delhi";"Delhi";28.813866;77.149528;"2025-01-31";"21:00:00";21;"Friday";0;"urban";6;"1";"fog";"low";19.0;"high";"poor road";"minor";3;1;0;"No Festival";0.65
81;"Chandigarh";"Punjab";30.658767;76.836989;"2024-03-01";"14:00:00";14;"Friday";0;"highway";6;"0";"rain";"medium";36.0;"medium";"drunk driving";"major";3;1;0;"No Festival";0.25
82;"Pune";"Maharashtra";18.499609;73.81264;"2024-06-14";"06:00:00";6;"Friday";0;"highway";2;"0";"rain";"medium";37.0;"medium";"overspeeding";"minor";3;0;0;"No Festival";0.25
83;"Kolkata";"West Bengal";22.641847;88.381884;"2024-11-05";"22:00:00";22;"Tuesday";0;"rural";1;"1";"fog";"low";30.0;"low";"overspeeding";"minor";1;0;0;"No Festival";0.45
84;"Hyderabad";"Telangana";17.386509;78.48781;"2022-04-11";"00:00:00";0;"Monday";0;"rural";1;"1";"rain";"medium";38.0;"low";"weather";"major";3;0;0;"No Festival";0.25
85;"Hyderabad";"Telangana";17.335804;78.271751;"2023-04-21";"03:00:00";3;"Friday";0;"urban";5;"1";"fog";"low";40.0;"low";"weather";"major";2;2;0;"No Festival";0.45
86;"Chandigarh";"Punjab";30.645926;76.791403;"2025-01-23";"17:00:00";17;"Thursday";0;"highway";2;"0";"fog";"low";36.0;"medium";"weather";"major";3;2;1;"No Festival";0.6
87;"Chennai";"Tamil Nadu";12.93952;80.153093;"2023-12-07";"14:00:00";14;"Thursday";0;"rural";2;"1";"rain";"low";25.0;"medium";"overspeeding";"minor";5;1;0;"No Festival";0.45
88;"Hyderabad";"Telangana";17.512138;78.471549;"2024-04-24";"06:00:00";6;"Wednesday";0;"highway";1;"0";"rain";"low";30.0;"low";"poor road";"minor";5;5;0;"No Festival";0.45
89;"Mumbai";"Maharashtra";18.803193;72.982741;"2022-09-28";"04:00:00";4;"Wednesday";0;"highway";3;"0";"fog";"low";19.0;"low";"distraction";"minor";5;4;0;"No Festival";0.45
90;"Delhi";"Delhi";28.838921;76.991482;"2025-02-16";"22:00:00";22;"Sunday";1;"highway";3;"0";"clear";"high";24.0;"high";"distraction";"minor";2;1;0;"No Festival";0.3
91;"Hyderabad";"Telangana";17.470165;78.472552;"2022-09-24";"02:00:00";2;"Saturday";1;"urban";3;"1";"rain";"medium";20.0;"medium";"weather";"major";1;1;0;"No Festival";0.25
92;"Pune";"Maharashtra";18.537548;73.723176;"2022-10-14";"23:00:00";23;"Friday";0;"rural";3;"0";"rain";"medium";38.0;"high";"drunk driving";"major";5;3;0;"No Festival";0.45
93;"Bangalore";"Karnataka";12.941515;77.674347;"2024-11-14";"05:00:00";5;"Thursday";0;"rural";6;"0";"fog";"low";35.0;"high";"overspeeding";"minor";3;1;0;"No Festival";0.65
94;"Pune";"Maharashtra";18.467712;73.954984;"2025-03-14";"09:00:00";9;"Friday";0;"rural";1;"1";"fog";"low";18.0;"high";"poor road";"minor";5;5;1;"No Festival";0.8
95;"Hyderabad";"Telangana";17.44697;78.449607;"2023-09-19";"18:00:00";18;"Tuesday";0;"urban";1;"0";"fog";"low";19.0;"high";"overspeeding";"minor";2;1;1;"No Festival";0.8
96;"Mumbai";"Maharashtra";19.250366;72.762997;"2024-06-06";"22:00:00";22;"Thursday";0;"urban";4;"0";"fog";"low";35.0;"medium";"poor road";"major";4;4;0;"No Festival";0.45
97;"Kolkata";"West Bengal";22.48522;88.321126;"2022-09-05";"02:00:00";2;"Monday";0;"rural";4;"1";"clear";"high";37.0;"low";"overspeeding";"minor";3;3;0;"No Festival";0.1
98;"Chandigarh";"Punjab";30.662289;76.860184;"2024-08-03";"07:00:00";7;"Saturday";1;"rural";4;"0";"clear";"high";27.0;"medium";"weather";"major";3;0;0;"No Festival";0.1
99;"Pune";"Maharashtra";18.687205;73.858717;"2023-03-22";"17:00:00";17;"Wednesday";0;"highway";4;"0";"clear";"high";16.0;"medium";"distraction";"major";4;4;1;"No Festival";0.25
100;"Chandigarh";"Punjab";30.729891;76.786151;"2022-04-17";"06:00:00";6;"Sunday";1;"highway";2;"0";"fog";"low";34.0;"low";"drunk driving";"minor";5;2;0;"No Festival";0.45
101;"Chennai";"Tamil Nadu";12.810721;80.19735;"2023-08-05";"18:00:00";18;"Saturday";1;"urban";2;"1";"fog";"low";36.0;"high";"poor road";"minor";4;2;1;"No Festival";0.8
102;"Kolkata";"West Bengal";22.537913;88.323836;"2023-07-16";"23:00:00";23;"Sunday";1;"highway";5;"1";"rain";"low";40.0;"high";"distraction";"minor";3;1;0;"No Festival";0.65
103;"Bangalore";"Karnataka";13.045999;77.520041;"2023-04-24";"12:00:00";12;"Monday";0;"urban";4;"1";"rain";"medium";26.0;"low";"distraction";"fatal";1;1;0;"No Festival";0.45
104;"Bangalore";"Karnataka";12.848361;77.433807;"2022-10-26";"07:00:00";7;"Wednesday";0;"rural";2;"0";"clear";"high";25.0;"medium";"drunk driving";"major";1;0;0;"No Festival";0.1
105;"Bangalore";"Karnataka";13.057964;77.590444;"2023-12-10";"20:00:00";20;"Sunday";1;"highway";2;"0";"clear";"high";40.0;"medium";"drunk driving";"minor";4;0;0;"No Festival";0.1
106;"Mumbai";"Maharashtra";18.990602;72.799954;"2024-12-09";"20:00:00";20;"Monday";0;"highway";2;"1";"rain";"low";23.0;"low";"drunk driving";"major";1;0;0;"No Festival";0.45
107;"Hyderabad";"Telangana";17.426893;78.488724;"2024-03-01";"13:00:00";13;"Friday";0;"highway";4;"1";"fog";"low";39.0;"low";"distraction";"minor";5;1;0;"No Festival";0.45
108;"Mumbai";"Maharashtra";18.838523;72.976824;"2023-11-22";"22:00:00";22;"Wednesday";0;"rural";1;"1";"rain";"medium";15.0;"low";"drunk driving";"minor";5;1;0;"No Festival";0.25
109;"Chennai";"Tamil Nadu";13.10543;80.11737;"2023-12-20";"04:00:00";4;"Wednesday";0;"rural";6;"0";"clear";"high";29.0;"medium";"weather";"minor";2;1;0;"No Festival";0.1
110;"Delhi";"Delhi";28.519189;76.859451;"2024-02-03";"02:00:00";2;"Saturday";1;"rural";1;"0";"rain";"low";27.0;"high";"poor road";"minor";1;0;0;"No Festival";0.65
111;"Bangalore";"Karnataka";12.94701;77.785423;"2024-11-19";"16:00:00";16;"Tuesday";0;"rural";1;"0";"clear";"high";34.0;"low";"distraction";"minor";5;5;0;"No Festival";0.1
112;"Hyderabad";"Telangana";17.49119;78.27063;"2025-02-15";"08:00:00";8;"Saturday";1;"urban";4;"0";"rain";"low";31.0;"high";"poor road";"minor";3;0;1;"No Festival";0.8
113;"Chennai";"Tamil Nadu";12.812744;80.226751;"2022-09-07";"20:00:00";20;"Wednesday";0;"highway";2;"0";"fog";"low";17.0;"low";"drunk driving";"major";5;2;0;"No Festival";0.45
114;"Chennai";"Tamil Nadu";13.126298;80.273119;"2024-07-07";"09:00:00";9;"Sunday";1;"highway";6;"1";"clear";"high";34.0;"medium";"overspeeding";"major";4;1;1;"No Festival";0.25
115;"Kolkata";"West Bengal";22.686595;88.399393;"2024-08-31";"15:00:00";15;"Saturday";1;"rural";6;"0";"fog";"low";31.0;"medium";"weather";"fatal";1;1;0;"No Festival";0.65
116;"Hyderabad";"Telangana";17.416162;78.471995;"2022-02-12";"11:00:00";11;"Saturday";1;"rural";4;"1";"rain";"low";17.0;"high";"distraction";"minor";3;1;0;"No Festival";0.65
117;"Chennai";"Tamil Nadu";12.829772;80.266893;"2023-11-23";"05:00:00";5;"Thursday";0;"rural";3;"0";"rain";"low";24.0;"high";"overspeeding";"minor";2;1;0;"No Festival";0.65
118;"Chandigarh";"Punjab";30.703228;76.745141;"2022-04-20";"22:00:00";22;"Wednesday";0;"highway";5;"0";"rain";"low";36.0;"high";"drunk driving";"minor";4;4;0;"No Festival";0.65
119;"Pune";"Maharashtra";18.671835;73.77906;"2023-06-09";"13:00:00";13;"Friday";0;"urban";3;"0";"rain";"low";18.0;"low";"poor road";"minor";1;1;0;"No Festival";0.45
120;"Chandigarh";"Punjab";30.780406;76.759015;"2024-11-28";"19:00:00";19;"Thursday";0;"rural";1;"0";"rain";"medium";26.0;"high";"drunk driving";"major";3;0;1;"No Festival";0.6
121;"Bangalore";"Karnataka";12.863873;77.573049;"2023-06-23";"14:00:00";14;"Friday";0;"rural";3;"0";"clear";"high";20.0;"high";"drunk driving";"major";4;0;0;"No Festival";0.3
122;"Chandigarh";"Punjab";30.612508;76.8941;"2024-09-07";"11:00:00";11;"Saturday";1;"highway";2;"1";"rain";"medium";15.0;"medium";"drunk driving";"minor";3;2;0;"No Festival";0.25
123;"Pune";"Maharashtra";18.613759;73.739609;"2022-11-08";"17:00:00";17;"Tuesday";0;"highway";5;"0";"clear";"high";16.0;"high";"weather";"major";4;1;1;"No Festival";0.45
124;"Kolkata";"West Bengal";22.615566;88.245733;"2022-09-02";"13:00:00";13;"Friday";0;"urban";4;"1";"clear";"high";25.0;"low";"poor road";"major";3;1;0;"No Festival";0.1
125;"Chennai";"Tamil Nadu";12.917829;80.107956;"2022-09-09";"00:00:00";0;"Friday";0;"highway";6;"0";"rain";"medium";40.0;"high";"overspeeding";"major";2;0;0;"No Festival";0.45
126;"Chandigarh";"Punjab";30.669447;76.798384;"2024-07-14";"13:00:00";13;"Sunday";1;"urban";5;"1";"fog";"low";38.0;"medium";"weather";"minor";4;3;0;"No Festival";0.45
127;"Chennai";"Tamil Nadu";13.023148;80.267046;"2023-10-24";"22:00:00";22;"Tuesday";0;"rural";4;"0";"clear";"high";36.0;"low";"distraction";"major";3;3;0;"No Festival";0.1
128;"Hyderabad";"Telangana";17.469395;78.426902;"2022-06-12";"23:00:00";23;"Sunday";1;"urban";1;"0";"rain";"low";17.0;"medium";"poor road";"major";3;1;0;"No Festival";0.45
129;"Pune";"Maharashtra";18.445959;73.866259;"2022-12-05";"13:00:00";13;"Monday";0;"rural";4;"1";"clear";"high";20.0;"medium";"distraction";"major";2;2;0;"No Festival";0.1
130;"Bangalore";"Karnataka";12.810804;77.644324;"2023-04-12";"15:00:00";15;"Wednesday";0;"highway";3;"0";"fog";"low";31.0;"low";"weather";"minor";1;1;0;"No Festival";0.45
131;"Kolkata";"West Bengal";22.605036;88.211938;"2022-07-06";"20:00:00";20;"Wednesday";0;"urban";5;"1";"rain";"medium";22.0;"medium";"overspeeding";"major";1;1;0;"No Festival";0.25
132;"Chandigarh";"Punjab";30.749547;76.70627;"2024-01-17";"05:00:00";5;"Wednesday";0;"urban";1;"0";"fog";"low";24.0;"high";"poor road";"minor";4;2;0;"No Festival";0.65
133;"Delhi";"Delhi";28.8028;76.835013;"2022-06-27";"15:00:00";15;"Monday";0;"highway";4;"0";"rain";"medium";19.0;"low";"drunk driving";"fatal";2;2;0;"No Festival";0.45
134;"Pune";"Maharashtra";18.571932;73.724503;"2025-01-21";"03:00:00";3;"Tuesday";0;"highway";2;"0";"clear";"high";31.0;"low";"drunk driving";"major";3;0;0;"No Festival";0.1
135;"Bangalore";"Karnataka";12.913562;77.619006;"2023-10-30";"19:00:00";19;"Monday";0;"highway";3;"0";"rain";"medium";34.0;"medium";"poor road";"major";4;3;1;"No Festival";0.4
136;"Chandigarh";"Punjab";30.771578;76.798125;"2023-09-24";"20:00:00";20;"Sunday";1;"highway";3;"1";"rain";"medium";25.0;"high";"weather";"fatal";5;5;0;"No Festival";0.65
137;"Chennai";"Tamil Nadu";12.910539;80.183088;"2023-07-08";"12:00:00";12;"Saturday";1;"highway";5;"1";"clear";"high";28.0;"high";"poor road";"minor";3;2;0;"No Festival";0.3
